city,Customer_Name,Customer_Segment,Discount,Number_of_Records,Order_Date,Order_ID,Order_Priority,Order_Quantity,Product_Base_Margin,Product_Category,Product_Container,Product_Sub_Category,Profit,Region,Row_ID,Sales,Ship_Date,Ship_Mode,Shipping_Cost,State,Unit_Price,Zip_Code
Quincy,Claudia Miner,Small Business,0.01,1,2013-02-26,37541,Medium,3,0.65,Office Supplies,Large Box,Storage and Organization,-599.54,Central,5277,1373.11,2013-02-28,Regular Air,35,Illinois,80.98,62301
San Francisco,Karen Carlisle,Corporate,0.08,1,2013-02-26,36836,Medium,43,0.38,Technology,Small Box,Computer Peripherals,-70.68,Central,5275,71.94,2013-02-28,Regular Air,5.99,Illinois,20.95,62301
Fayetteville,Steve Chapman,Corporate,0.02,1,2013-02-26,38979,Low,31,0.46,Office Supplies,Small Box,Binders and Binder Accessories,6919.87,West,5184,16116.33,2013-03-01,Regular Air,19.99,California,387.99,94110
Fayetteville,Steve Chapman,Corporate,0.06,1,2013-02-26,38979,Low,34,0.44,Office Supplies,Wrap Bag,Pens and Art Supplies,-16.63,South,5498,65.61,2013-03-03,Regular Air,1.63,Arkansas,1.95,72701
Duluth,Mike Kennedy,Corporate,0.09,1,2013-02-27,20386,Critical,35,0.81,Technology,Small Box,Computer Peripherals,1021.07,South,5497,2864.55,2013-03-03,Regular Air,5.5,Arkansas,82.99,72701
Albany,Patrick Ryan,Corporate,0.08,1,2013-02-27,4166,Low,19,0.39,Office Supplies,Wrap Bag,Rubber Bands,-21.51,Central,2823,41.23,2013-02-27,Regular Air,0.7,Minnesota,1.26,55803
Pekin,Carlos Daly,Home Office,0.06,1,2013-02-27,33922,Not Specified,31,0.37,Office Supplies,Small Box,Binders and Binder Accessories,-49.35,South,610,138.85,2013-02-27,Regular Air,6.05,Georgia,7.1,31707
Taylors,Harold Dahlen,Corporate,0.06,1,2013-02-27,47942,Medium,9,0.58,Technology,Jumbo Drum,Office Machines,5353.19,Central,4777,15251.5,2013-02-27,Delivery Truck,69.3,Illinois,500.97,61554
Kansas City,Sonia Sunley,Corporate,0.06,1,2013-02-27,16230,Low,27,0.69,Technology,Small Box,Telephones and Communication,-303.56,South,6735,918.74,2013-02-28,Express Air,7.69,South Carolina,125.99,29687
Bristol,Randy Ferguson,Corporate,0,1,2013-02-27,6272,High,48,0.63,Furniture,Jumbo Box,Bookcases,-801.09,Central,2257,3379.01,2013-03-01,Delivery Truck,54.74,Kansas,130.98,66104
Chattanooga,Randy Ferguson,Corporate,0.03,1,2013-02-27,6272,High,31,0.65,Furniture,Jumbo Box,Tables,-175.46,South,872,4965.38,2013-03-01,Delivery Truck,51.94,Tennessee,124.49,37620
Bristol,Randy Ferguson,Corporate,0.05,1,2013-02-27,6272,High,33,0.39,Furniture,Medium Box,Office Furnishings,875.45,South,874,3232.68,2013-03-01,Regular Air,13.99,Tennessee,105.98,37421
Taylors,Harold Dahlen,Corporate,0.04,1,2013-02-27,47942,Medium,3,0.36,Furniture,Small Pack,Office Furnishings,37.9,South,871,497.4,2013-03-01,Regular Air,8.99,Tennessee,14.98,37620
Hutchinson,Sonia Sunley,Corporate,0.09,1,2013-02-27,16230,Low,2,0.38,Office Supplies,Wrap Bag,Paper,-4.63,South,6734,22.6,2013-03-01,Express Air,3.04,South Carolina,5.88,29687
Bristol,Randy Ferguson,Corporate,0.09,1,2013-02-27,6272,High,8,0.83,Office Supplies,Small Box,Labels,-7.86,Central,2256,13.3,2013-03-01,Regular Air,0.49,Kansas,7.31,67501
Taylors,Harold Dahlen,Corporate,0.09,1,2013-02-27,47942,Medium,30,0.37,Technology,Small Pack,Telephones and Communication,-275.06,South,873,358.42,2013-03-01,Express Air,2.5,Tennessee,55.99,37620
Euclid,Herbert Flentye,Small Business,0.04,1,2013-02-27,9701,Low,9,0.57,Technology,Large Box,Copiers and Fax,5916.34,South,6733,17034.92,2013-03-01,Regular Air,24.49,South Carolina,599.99,29687
Muskego,Patricia Hirasaki,Home Office,0.01,1,2013-02-27,58820,Low,24,0.43,Technology,Small Box,Telephones and Communication,-153.92,East,1332,855.87,2013-03-03,Regular Air,2.5,Ohio,110.99,44117
Kansas City,Sonia Sunley,Corporate,0,1,2013-02-27,16230,Low,40,0.78,Furniture,Small Pack,Office Furnishings,61.51,Central,8230,307.49,2013-03-04,Regular Air,6.02,Wisconsin,12.2,53150
Euclid,Herbert Flentye,Small Business,0.01,1,2013-02-27,9701,Low,8,0.35,Office Supplies,Small Box,Storage and Organization,506.86,Central,2259,4538.66,2013-03-04,Regular Air,8.64,Kansas,111.03,66104
Kansas City,Sonia Sunley,Corporate,0.08,1,2013-02-27,16230,Low,15,0.38,Office Supplies,Small Box,Binders and Binder Accessories,25.13,East,1331,103.75,2013-03-04,Regular Air,1.49,Ohio,12.97,44117
Minnetonka,Sean Wendt,Corporate,0.05,1,2013-02-28,34787,Low,14,0.58,Office Supplies,Small Box,Paper,223.76,Central,2258,687.52,2013-03-06,Regular Air,5.81,Kansas,48.91,66104
Mandan,Susan Vittorini,Home Office,0.03,1,2013-02-28,17506,Low,33,0.57,Office Supplies,Small Pack,Pens and Art Supplies,14.61,Central,4889,453.99,2013-03-02,Regular Air,8.99,Minnesota,30.98,55345
Lancaster,Katherine Nockton,Corporate,0.03,1,2013-03-01,36517,Not Specified,18,0.56,Office Supplies,Jumbo Drum,Appliances,1939.11,Central,2410,9473.31,2013-03-04,Delivery Truck,42.52,North Dakota,294.62,58554
White Plains,Caroline Jumper,Corporate,0.08,1,2013-03-01,738,Not Specified,31,0.37,Office Supplies,Small Box,Appliances,218.97,East,5129,877.64,2013-03-02,Regular Air,3.99,Ohio,48.58,43130
Conway,Steve Chapman,Corporate,0.05,1,2013-03-01,24577,Medium,8,0.39,Office Supplies,Small Box,Paper,-56.68,East,113,189.95,2013-03-02,Regular Air,5.14,New York,6.48,10605
White Plains,Caroline Jumper,Corporate,0.04,1,2013-03-01,738,Not Specified,7,0.59,Office Supplies,Small Box,Paper,20.09,South,3443,180.79,2013-03-02,Regular Air,5.47,Arkansas,22.84,72032
Lancaster,Katherine Nockton,Corporate,0.06,1,2013-03-01,36517,Not Specified,9,0.6,Office Supplies,Small Box,Appliances,32.6,East,112,560.51,2013-03-03,Regular Air,4.5,New York,80.98,10605
Chula Vista,Maureen Gastineau,Consumer,0.09,1,2013-03-02,2914,Medium,3,0.37,Technology,Small Box,Computer Peripherals,-63.78,East,5130,190.1,2013-03-03,Regular Air,4,Ohio,20.95,43130
Elkhart,Dan Reichenbach,Corporate,0.02,1,2013-03-02,35300,Medium,10,0.38,Office Supplies,Small Box,Paper,-24.74,West,436,62.88,2013-03-03,Regular Air,9.54,California,18.97,91911
North Platte,Liz MacKendrick,Corporate,0.04,1,2013-03-02,1600,Medium,36,0.36,Office Supplies,Small Box,Labels,7.15,Central,4962,28.81,2013-03-03,Regular Air,0.49,Indiana,2.89,46514
Elkhart,Dan Reichenbach,Corporate,0.06,1,2013-03-02,35300,Medium,13,0.39,Office Supplies,Small Box,Paper,-150.74,Central,238,191.6,2013-03-03,Regular Air,7.44,Nebraska,4.98,69101
Rosenberg,Alan Hwang,Small Business,0.04,1,2013-03-02,27236,High,20,0.38,Office Supplies,Wrap Bag,Paper,29.62,Central,4964,119.03,2013-03-03,Regular Air,2.01,Indiana,8.95,46514
Council Bluffs,Lena Cacioppo,Home Office,0.05,1,2013-03-02,19813,Critical,29,0.56,Office Supplies,Small Box,Paper,84.3,Central,3820,393.31,2013-03-03,Regular Air,5.86,Texas,19.98,77471
Pasco,Victoria Brennan,Small Business,0.04,1,2013-03-02,55424,Medium,6,0.41,Technology,Small Box,Telephones and Communication,218.73,Central,2745,1098.51,2013-03-03,Regular Air,2.5,Iowa,45.99,51503
North Platte,Liz MacKendrick,Corporate,0.1,1,2013-03-02,1600,Medium,32,0.55,Furniture,Small Box,Office Furnishings,-4.13,West,7738,25.84,2013-03-04,Express Air,4.86,Washington,1.76,99301
Greenville,Kelly Andreada,Home Office,0.09,1,2013-03-02,4359,Critical,21,0.59,Furniture,Small Box,Office Furnishings,-45.99,Central,237,303.59,2013-03-04,Regular Air,6.22,Nebraska,9.65,69101
Elkhart,Dan Reichenbach,Corporate,0.08,1,2013-03-02,35300,Medium,35,0.76,Office Supplies,Small Box,Storage and Organization,-97.75,South,626,215.76,2013-03-04,Regular Air,7.46,South Carolina,10.9,29611
West Babylon,Brenda Bowman,Small Business,0.03,1,2013-03-03,43271,Medium,2,0.58,Furniture,Medium Box,Office Furnishings,126.03,Central,4963,1445.6,2013-03-05,Regular Air,8.66,Indiana,41.32,46514
Gorham,Doug Jacobs,Home Office,0.06,1,2013-03-03,47169,Medium,15,0.56,Office Supplies,Wrap Bag,Pens and Art Supplies,-5.27,East,6109,7.75,2013-03-04,Regular Air,2.4,New York,2.6,11704
Waldorf,Jason Klamczynski,Home Office,0.06,1,2013-03-03,11429,Low,46,0.71,Technology,Small Box,Telephones and Communication,-19.97,East,6630,803.27,2013-03-04,Regular Air,5.26,Maine,65.99,4038
Riverview,Theresa Swint,Consumer,0.07,1,2013-03-03,44064,Medium,43,0.36,Furniture,Jumbo Box,Tables,-969.05,East,1586,18421.2,2013-03-05,Delivery Truck,42.52,Maryland,400.98,20601
Riverview,Theresa Swint,Consumer,0.05,1,2013-03-03,44064,Medium,23,0.59,Office Supplies,Small Box,Paper,-213.49,South,6221,468.48,2013-03-05,Express Air,11.25,Florida,11.34,33569
Prior Lake,John Castell,Small Business,0.08,1,2013-03-03,34599,Low,26,0.52,Office Supplies,Small Pack,Pens and Art Supplies,-104.18,South,6222,284.14,2013-03-06,Regular Air,8.99,Florida,11.66,33569
Waldorf,Jason Klamczynski,Home Office,0.01,1,2013-03-03,11429,Low,39,0.36,Furniture,Wrap Bag,Office Furnishings,7.17,Central,4862,191.55,2013-03-07,Regular Air,3.68,Minnesota,7.7,55372
Prior Lake,John Castell,Small Business,0.05,1,2013-03-03,34599,Low,29,0.4,Office Supplies,Small Box,Binders and Binder Accessories,59.04,East,1585,446.04,2013-03-07,Regular Air,5.14,Maryland,10.98,20601
Citrus Heights,Maureen Gastineau,Consumer,0.04,1,2013-03-04,8101,Medium,35,0.57,Office Supplies,Small Box,Paper,22.21,Central,4863,938.86,2013-03-07,Regular Air,17.08,Minnesota,30.98,55372
Claremont,Maureen Gastineau,Consumer,0.1,1,2013-03-04,8101,Medium,15,0.56,Furniture,Jumbo Drum,Chairs and Chairmats,-1216.64,West,1102,3491.71,2013-03-06,Delivery Truck,74.35,California,95.95,95610
Berkeley,Speros Goranitis,Corporate,0.08,1,2013-03-04,27712,Low,20,0.38,Office Supplies,Small Pack,Pens and Art Supplies,-9.32,West,1103,485.16,2013-03-06,Regular Air,8.99,California,34.58,91711
Brentwood,Tom Ashbrook,Home Office,0.05,1,2013-03-05,54692,Medium,16,0.59,Office Supplies,Small Box,Paper,31.54,West,3879,246.63,2013-03-11,Regular Air,4.86,California,12.28,94704
Beaumont,Darren Budd,Corporate,0.04,1,2013-03-05,46855,High,32,0.68,Office Supplies,Wrap Bag,Pens and Art Supplies,-3.67,West,7637,43.65,2013-03-05,Regular Air,0.97,California,2.78,94513
Jamestown,Mathew Reese,Small Business,0.07,1,2013-03-05,8870,Not Specified,15,0.4,Furniture,Wrap Bag,Office Furnishings,-4.68,Central,6582,53.34,2013-03-06,Regular Air,0.7,Texas,1.68,77705
Gurnee,Mike Pelletier,Corporate,0.04,1,2013-03-05,52193,Not Specified,1,0.39,Office Supplies,Small Box,Paper,117.39,East,1211,441.58,2013-03-06,Regular Air,5.09,New York,30.98,14701
Gurnee,Mike Pelletier,Corporate,0.07,1,2013-03-05,52193,Not Specified,47,0.58,Office Supplies,Small Box,Labels,10.51,Central,7318,17.89,2013-03-07,Express Air,0.5,Illinois,2.88,60031
Brentwood,Tom Ashbrook,Home Office,0.09,1,2013-03-05,54692,Medium,27,0.58,Office Supplies,Wrap Bag,Pens and Art Supplies,6.04,Central,7319,137.18,2013-03-07,Regular Air,0.96,Illinois,2.94,60031
Fairfield,Jim Kriz,Consumer,0.06,1,2013-03-06,26852,Critical,2,0.36,Technology,Small Box,Telephones and Communication,249.1,West,7638,2478.48,2013-03-07,Regular Air,8.99,California,115.99,94513
Kenosha,Nathan Gelder,Home Office,0.02,1,2013-03-07,58720,Not Specified,43,0.39,Office Supplies,Small Box,Paper,-9.88,East,3758,15.81,2013-03-08,Regular Air,6.07,Ohio,4.98,45014
Dearborn Heights,Justin Hirsh,Consumer,0.08,1,2013-03-07,56610,Medium,20,0.64,Office Supplies,Small Box,Binders and Binder Accessories,597.16,Central,8211,2378.82,2013-03-07,Regular Air,16.11,Wisconsin,52.4,53142
Kenosha,Nathan Gelder,Home Office,0.02,1,2013-03-07,58720,Not Specified,6,0.4,Technology,Small Box,Computer Peripherals,51.85,Central,7919,857.95,2013-03-07,Express Air,4,Michigan,43.22,48127
Plano,Theresa Coyne,Home Office,0.08,1,2013-03-07,14147,Not Specified,16,0.4,Office Supplies,Small Box,Paper,13.87,Central,8212,202.62,2013-03-08,Express Air,8.74,Wisconsin,30.98,53142
Bellevue,Adam Bellavance,Small Business,0,1,2013-03-07,55269,Medium,1,0.4,Office Supplies,Small Box,Paper,-69.34,Central,1985,74.13,2013-03-08,Regular Air,6.72,Texas,4.28,75023
Boardman,Xylona Price,Corporate,0,1,2013-03-07,13121,High,36,0.79,Office Supplies,Small Box,Paper,-41.82,Central,7711,49.61,2013-03-08,Regular Air,17.08,Nebraska,30.98,68005
Long Beach,Max Engle,Corporate,0.03,1,2013-03-07,19329,Not Specified,6,0.56,Technology,Small Box,Computer Peripherals,-27.99,East,1828,1211,2013-03-08,Regular Air,6.5,Ohio,30.98,44512
Fort Pierce,Mick Crebagga,Home Office,0.03,1,2013-03-07,46949,High,37,0.61,Technology,Small Box,Telephones and Communication,-155.95,East,2671,231.75,2013-03-08,Regular Air,4.99,New York,45.99,11561
Long Beach,Max Engle,Corporate,0.07,1,2013-03-07,19329,Not Specified,37,0.41,Technology,Small Pack,Computer Peripherals,-39.33,South,6597,319.39,2013-03-08,Regular Air,3.62,Florida,8.46,34982
Huber Heights,John Lucas,Corporate,0,1,2013-03-07,9568,Not Specified,46,0.54,Furniture,Small Box,Office Furnishings,-6.39,East,2670,281.59,2013-03-09,Regular Air,4.95,New York,7.96,11561
Plano,Theresa Coyne,Home Office,0.09,1,2013-03-07,14147,Not Specified,45,0.4,Office Supplies,Large Box,Appliances,748.67,East,1304,3725.53,2013-03-09,Regular Air,19.95,Ohio,76.72,45424
Saint Charles,Doug Bickford,Corporate,0.09,1,2013-03-07,43329,Medium,42,0.57,Office Supplies,Small Box,Paper,-148.87,Central,1986,195.03,2013-03-09,Regular Air,5.74,Texas,4.28,75023
Plano,Theresa Coyne,Home Office,0.03,1,2013-03-07,14147,Not Specified,8,0.35,Office Supplies,Small Box,Appliances,752.37,Central,6118,2475.83,2013-03-10,Regular Air,3.99,Illinois,59.98,60174
Boardman,Xylona Price,Corporate,0.07,1,2013-03-07,13121,High,28,0.58,Office Supplies,Small Box,Binders and Binder Accessories,107.32,Central,1984,351.49,2013-03-10,Regular Air,2.99,Texas,41.94,75023
The Colony,Edward Nazzal,Home Office,0.01,1,2013-03-08,896,Critical,50,0.39,Technology,Small Box,Telephones and Communication,1049.54,East,1829,4924.14,2013-03-10,Regular Air,8.99,Ohio,205.99,44512
Bartlesville,Jennifer Halladay,Home Office,0,1,2013-03-08,28482,Critical,40,0.4,Office Supplies,Small Box,Binders and Binder Accessories,52.48,Central,138,1246.52,2013-03-08,Regular Air,12.98,Texas,24.92,75056
Romeoville,Dorothy Wardle,Corporate,0,1,2013-03-08,3908,Medium,8,0.57,Office Supplies,Small Box,Paper,-167.92,Central,3990,177.92,2013-03-08,Regular Air,6.72,Oklahoma,4.28,74006
Bartlesville,Jennifer Halladay,Home Office,0.03,1,2013-03-08,28482,Critical,22,0.51,Technology,Small Box,Telephones and Communication,-180.2,Central,577,820.28,2013-03-08,Regular Air,2.5,Illinois,115.99,60441
Shakopee,Charles Sheldon,Corporate,0.06,1,2013-03-08,14406,Medium,20,0.78,Furniture,Wrap Bag,Office Furnishings,-27.39,Central,3989,119.63,2013-03-10,Regular Air,3.63,Oklahoma,5.08,74006
Shakopee,Charles Sheldon,Corporate,0.1,1,2013-03-08,14406,Medium,35,0.85,Office Supplies,Jumbo Drum,Storage and Organization,-932.55,Central,2022,455.34,2013-03-10,Delivery Truck,53.03,Minnesota,20.98,55379
Shakopee,Charles Sheldon,Corporate,0.07,1,2013-03-08,14406,Medium,37,0.38,Technology,Wrap Bag,Telephones and Communication,-310.24,Central,2023,2329.65,2013-03-10,Express Air,0.99,Minnesota,85.99,55379
College Station,Henry MacAllister,Small Business,0.01,1,2013-03-08,12736,Low,2,0.55,Technology,Medium Box,Office Machines,2366.51,Central,2021,5610.84,2013-03-10,Regular Air,13.99,Minnesota,150.98,55379
Rose Hill,Dean Percer,Home Office,0.07,1,2013-03-09,47909,Medium,38,0.36,Furniture,Small Box,Office Furnishings,21.77,Central,1778,25.52,2013-03-15,Regular Air,6.22,Texas,9.65,77840
Corpus Christi,Anemone Ratner,Small Business,0.01,1,2013-03-09,43367,Critical,18,0.8,Office Supplies,Small Box,Paper,-175.62,South,6727,185.19,2013-03-09,Regular Air,7.44,Virginia,4.98,24281
Corpus Christi,Anemone Ratner,Small Business,0.04,1,2013-03-09,43367,Critical,16,0.59,Office Supplies,Large Box,Storage and Organization,-468.64,Central,6128,1221.62,2013-03-09,Regular Air,35,Texas,64.65,78415
Sharon,Alex Grayson,Consumer,0.1,1,2013-03-09,48263,Medium,28,0.4,Office Supplies,Small Pack,Scissors Rulers and Trimmers,1.72,Central,6127,139.37,2013-03-10,Express Air,2.64,Texas,8.34,78415
Woonsocket,Alex Grayson,Consumer,0.07,1,2013-03-09,48263,Medium,25,0.4,Office Supplies,Small Box,Paper,-124.72,East,6778,164.22,2013-03-10,Regular Air,7.5,MA,5.98,2067
Rose Hill,Dean Percer,Home Office,0.07,1,2013-03-09,47909,Medium,22,0.59,Office Supplies,Wrap Bag,Paper,37.5,East,6779,135.91,2013-03-10,Regular Air,1.21,Rhode Island,5.68,2895
Elk Plain,Liz Pelletier,Corporate,0.04,1,2013-03-09,21735,Not Specified,23,0.57,Office Supplies,Small Pack,Scissors Rulers and Trimmers,-35.95,South,6728,220.26,2013-03-10,Regular Air,4.68,Virginia,10.23,24281
Hickory,Kelly Collister,Consumer,0.07,1,2013-03-09,44897,High,11,0.37,Furniture,Small Box,Office Furnishings,-159.35,West,3023,239.49,2013-03-11,Regular Air,12.52,Washington,9.98,98387
Rose Hill,Dean Percer,Home Office,0.08,1,2013-03-09,47909,Medium,48,0.37,Office Supplies,Small Box,Paper,-81.22,South,6335,85.62,2013-03-11,Regular Air,11.15,North Carolina,7.28,28601
Corpus Christi,Anemone Ratner,Small Business,0.08,1,2013-03-09,43367,Critical,3,0.37,Technology,Wrap Bag,Telephones and Communication,419.9,South,6729,843.03,2013-03-11,Regular Air,0.99,Virginia,20.99,24281
Elk Plain,Liz Pelletier,Corporate,0.02,1,2013-03-09,21735,Not Specified,14,0.58,Office Supplies,Small Box,Paper,-12.19,Central,6126,23.38,2013-03-12,Regular Air,5.14,Texas,6.48,78415
Walpole,Carlos Meador,Corporate,0.09,1,2013-03-09,31682,Low,42,0.54,Technology,Small Box,Telephones and Communication,-35.5,West,3024,1819.15,2013-03-12,Regular Air,8.99,Washington,155.99,98387
Beaumont,Darren Budd,Corporate,0,1,2013-03-10,52098,Medium,19,0.61,Office Supplies,Large Box,Appliances,455.42,East,4445,3186.77,2013-03-18,Regular Air,19.95,MA,76.72,2032
Cleveland,Roy Collins,Corporate,0,1,2013-03-10,4737,Not Specified,49,0.36,Furniture,Jumbo Drum,Chairs and Chairmats,220.07,Central,7307,812.06,2013-03-10,Regular Air,10.55,Texas,39.06,77705
Morristown,Beth Fritzler,Small Business,0.09,1,2013-03-11,24993,High,36,0.83,Office Supplies,Wrap Bag,Paper,49.77,South,676,314.21,2013-03-11,Regular Air,3.04,Tennessee,5.88,37311
South Windsor,Muhammed Yedwab,Consumer,0.04,1,2013-03-12,42884,Not Specified,29,0.71,Technology,Small Pack,Telephones and Communication,-226.82,South,3508,1561.22,2013-03-13,Regular Air,2.5,Tennessee,55.99,37814
Sunrise,Toby Knight,Consumer,0,1,2013-03-12,15234,Not Specified,12,0.57,Furniture,Jumbo Box,Tables,-969.05,East,6049,12098.87,2013-03-12,Delivery Truck,42.52,Connecticut,400.98,6074
Spring Hill,Toby Knight,Consumer,0.1,1,2013-03-12,15234,Not Specified,21,0.55,Technology,Small Box,Telephones and Communication,-34.73,South,2133,1323.54,2013-03-13,Express Air,8.08,Florida,125.99,33322
Tinley Park,Barry French,Consumer,0.06,1,2013-03-12,40804,Medium,36,0.74,Technology,Small Box,Telephones and Communication,268.01,South,2132,2185.95,2013-03-13,Regular Air,8.99,Florida,125.99,34609
Wilmette,Carlos Soltero,Consumer,0.1,1,2013-03-12,1412,Not Specified,13,0.38,Furniture,Jumbo Drum,Chairs and Chairmats,-1775.83,Central,5746,4273.8,2013-03-14,Delivery Truck,70.2,Illinois,122.99,60477
Wilmette,Carlos Soltero,Consumer,0.05,1,2013-03-12,1412,Not Specified,21,0.8,Office Supplies,Small Box,Labels,26.92,Central,213,59.03,2013-03-14,Express Air,0.5,Illinois,3.69,60091
Gadsden,Lori Olson,Consumer,0.01,1,2013-03-12,2149,Low,4,0.57,Office Supplies,Wrap Bag,Rubber Bands,-5.77,Central,214,97.48,2013-03-14,Regular Air,0.7,Illinois,4.71,60091
Martinez,John Dryer,Corporate,0.08,1,2013-03-13,47554,Low,9,0.56,Furniture,Small Box,Office Furnishings,21.21,South,310,43.56,2013-03-16,Regular Air,4.93,Alabama,9.38,35904
Texarkana,Dave Brooks,Corporate,0.08,1,2013-03-13,29957,Critical,28,0.58,Furniture,Jumbo Drum,Chairs and Chairmats,-50.31,South,6685,436.3,2013-03-13,Delivery Truck,14.19,Georgia,50.98,30907
Columbus,Carl Weiss,Consumer,0.08,1,2013-03-13,43936,Critical,42,0.55,Furniture,Jumbo Drum,Chairs and Chairmats,-824.91,South,4214,2555.37,2013-03-14,Delivery Truck,58.2,Arkansas,95.98,71854
Wheeling,Dave Brooks,Corporate,0.07,1,2013-03-13,29957,Critical,31,0.37,Office Supplies,Small Pack,Pens and Art Supplies,41.66,South,6203,670.65,2013-03-14,Regular Air,5.45,Mississippi,15.94,39701
Colchester,Carlos Meador,Corporate,0.05,1,2013-03-13,7938,Medium,34,0.43,Office Supplies,Small Box,Paper,576.39,East,4215,1447.62,2013-03-14,Regular Air,7.23,West Virginia,48.04,26003
Lenexa,Alex Avila,Home Office,0.06,1,2013-03-13,33632,Critical,8,0.57,Office Supplies,Wrap Bag,Pens and Art Supplies,132.56,East,1079,334.66,2013-03-14,Regular Air,1.09,Connecticut,9.93,6415
Pomona,Carlos Meador,Corporate,0.1,1,2013-03-13,7938,Medium,16,0.76,Technology,Small Box,Telephones and Communication,-277.78,Central,4722,763.65,2013-03-14,Regular Air,5.26,Kansas,115.99,66215
Parsippany,Carlos Meador,Corporate,0.04,1,2013-03-13,7938,Medium,23,0.36,Furniture,Jumbo Drum,Chairs and Chairmats,-357.65,West,1081,2026.05,2013-03-15,Delivery Truck,28.63,California,135.99,91767
Newnan,John Dryer,Corporate,0.01,1,2013-03-13,47554,Low,47,0.42,Office Supplies,Small Box,Paper,-86.73,East,1080,139.19,2013-03-15,Regular Air,7.15,New Jersey,5.98,7054
Oklahoma City,Pauline Chand,Small Business,0.07,1,2013-03-14,51524,Medium,16,0.85,Furniture,Wrap Bag,Office Furnishings,41.58,South,6686,364.23,2013-03-20,Regular Air,4,Georgia,7.59,30265
Merritt Island,Natalie Webber,Consumer,0.09,1,2013-03-14,19744,Medium,41,0.58,Office Supplies,Large Box,Storage and Organization,-446.31,Central,7219,2723.1,2013-03-15,Regular Air,35,Oklahoma,167.27,73120
Oklahoma City,Pauline Chand,Small Business,0.06,1,2013-03-14,51524,Medium,20,0.83,Office Supplies,Small Box,Appliances,-34.39,South,2733,478.38,2013-03-16,Regular Air,4.98,Florida,11.97,32953
Mcminnville,Alyssa Crouse,Home Office,0.03,1,2013-03-14,38791,Low,24,0.69,Technology,Small Pack,Telephones and Communication,-71.09,Central,7220,347.27,2013-03-16,Express Air,0.99,Oklahoma,20.99,73120
Deer Park,Dorris Love,Corporate,0.09,1,2013-03-15,43877,Low,36,0.58,Furniture,Jumbo Box,Tables,-1565.89,West,5463,1457.71,2013-03-21,Delivery Truck,89.3,Oregon,70.89,97128
South Lake Tahoe,Harold Dahlen,Consumer,0.04,1,2013-03-15,36737,Not Specified,10,0.56,Office Supplies,Small Box,Storage and Organization,-31.86,East,6194,580.04,2013-03-15,Express Air,6.25,New York,16.91,11729
Seymour,Harold Dahlen,Consumer,0.03,1,2013-03-15,36737,Not Specified,26,0.58,Office Supplies,Wrap Bag,Pens and Art Supplies,-31.24,West,5160,35.69,2013-03-16,Regular Air,4.2,California,3.28,96150
South Lake Tahoe,Harold Dahlen,Consumer,0.02,1,2013-03-15,36737,Not Specified,10,0.52,Technology,Small Box,Telephones and Communication,215.43,East,5158,1462.16,2013-03-16,Regular Air,5.99,Connecticut,65.99,6478
Longview,Frank Carlisle,Small Business,0,1,2013-03-15,27077,Critical,11,0.37,Technology,Small Box,Computer Peripherals,-119.92,West,5159,999.89,2013-03-16,Regular Air,19.99,California,99.99,96150
Palatine,Cari Schnelling,Small Business,0.04,1,2013-03-16,47749,Medium,46,0.55,Technology,Medium Box,Office Machines,321.25,Central,3796,1612.93,2013-03-17,Regular Air,13.99,Texas,140.99,75601
Westbrook,Andy Reiter,Corporate,0.01,1,2013-03-16,2084,High,16,0.36,Office Supplies,Small Pack,Scissors Rulers and Trimmers,-188.53,Central,6704,399.58,2013-03-16,Regular Air,7.77,Illinois,8.45,60067
Bristol,Chris Cortes,Consumer,0,1,2013-03-16,43972,Low,12,0.58,Office Supplies,Small Box,Paper,94.97,East,302,692.73,2013-03-18,Regular Air,17.48,Maine,40.99,4092
Dearborn Heights,Justin Hirsh,Consumer,0.09,1,2013-03-17,53025,Critical,32,0.4,Technology,Small Box,Telephones and Communication,-62.33,East,6206,714.39,2013-03-18,Regular Air,8.99,Connecticut,65.99,6010
Aiken,Saphhira Shifley,Corporate,0.09,1,2013-03-17,10754,Low,7,0.37,Office Supplies,Small Box,Paper,-132.93,Central,7437,195.57,2013-03-18,Regular Air,7.5,Michigan,5.98,48127
Beaumont,Darren Budd,Consumer,0.08,1,2013-03-17,49538,Low,29,0.62,Office Supplies,Small Box,Paper,-23.28,South,1492,48.04,2013-03-19,Regular Air,5.94,South Carolina,6.48,29801
Surprise,Dianna Vittorini,Corporate,0,1,2013-03-18,50118,Not Specified,19,0.76,Furniture,Jumbo Drum,Office Furnishings,217.57,Central,6940,730.51,2013-03-21,Regular Air,5.58,Texas,26.38,77705
Bettendorf,Julie Creighton,Corporate,0.04,1,2013-03-19,44162,High,46,0.57,Furniture,Jumbo Box,Tables,-409.79,West,7022,337.38,2013-03-19,Delivery Truck,27.75,Arizona,15.23,85374
Derry,Ann Blume,Small Business,0.02,1,2013-03-19,12643,Low,22,0.39,Office Supplies,Small Pack,Scissors Rulers and Trimmers,42.76,Central,6233,507.64,2013-03-20,Regular Air,3.37,Iowa,10.98,52722
Rochester,Deborah Brumfield,Corporate,0.1,1,2013-03-19,50759,Low,46,0.56,Office Supplies,Wrap Bag,Paper,143.23,East,1768,345.69,2013-03-21,Regular Air,1.97,New Hampshire,15.04,3038
